step,epoch
49,0.0
99,0.0
149,0.0
199,0.0
249,0.0
299,0.0
349,0.0
399,0.0
449,0.0
499,0.0
549,0.0
599,0.0
649,0.0
699,0.0
749,0.0
799,0.0
841,0.0
841,0.0
849,1.0
899,1.0
949,1.0
999,1.0
1049,1.0
1099,1.0
1149,1.0
1199,1.0
1249,1.0
1299,1.0
1349,1.0
1399,1.0
1449,1.0
1499,1.0
1549,1.0
1599,1.0
1649,1.0
1683,1.0
1683,1.0
1699,2.0
1749,2.0
1799,2.0
1849,2.0
1899,2.0
1949,2.0
1999,2.0
2049,2.0
2099,2.0
2149,2.0
2199,2.0
2249,2.0
2299,2.0
2349,2.0
2399,2.0
2449,2.0
2499,2.0
2525,2.0
2525,2.0
2549,3.0
2599,3.0
2649,3.0
2699,3.0
2749,3.0
2799,3.0
2849,3.0
2899,3.0
2949,3.0
2999,3.0
3049,3.0
3099,3.0
3149,3.0
3199,3.0
3249,3.0
3299,3.0
3349,3.0
3367,3.0
3367,3.0
3399,4.0
3449,4.0
3499,4.0
3549,4.0
3599,4.0
3649,4.0
3699,4.0
3749,4.0
3799,4.0
3849,4.0
3899,4.0
3949,4.0
3999,4.0
4049,4.0
4099,4.0
4149,4.0
4199,4.0
4209,4.0
4209,4.0
4249,5.0
4299,5.0
4349,5.0
4399,5.0
4449,5.0
4499,5.0
4549,5.0
4599,5.0
4649,5.0
4699,5.0
4749,5.0
4799,5.0
4849,5.0
4899,5.0
4949,5.0
4999,5.0
5049,5.0
5051,5.0
5051,5.0
5099,6.0
5149,6.0
5199,6.0
5249,6.0
5299,6.0
5349,6.0
5399,6.0
5449,6.0
5499,6.0
5549,6.0
5599,6.0
5649,6.0
5699,6.0
5749,6.0
5799,6.0
5849,6.0
5893,6.0
5893,6.0
5899,7.0
5949,7.0
5999,7.0
6049,7.0
6099,7.0
6149,7.0
6199,7.0
6249,7.0
6299,7.0
6349,7.0
6399,7.0
6449,7.0
6499,7.0
6549,7.0
6599,7.0
6649,7.0
6699,7.0
6735,7.0
6735,7.0
6749,8.0
6799,8.0
6849,8.0
6899,8.0
6949,8.0
6999,8.0
7049,8.0
7099,8.0
7149,8.0
7199,8.0
7249,8.0
7299,8.0
7349,8.0
7399,8.0
7449,8.0
7499,8.0
7549,8.0
7577,8.0
7577,8.0
7599,9.0
7649,9.0
7699,9.0
7749,9.0
7799,9.0
7849,9.0
7899,9.0
7949,9.0
7999,9.0
8049,9.0
8099,9.0
8149,9.0
8199,9.0
8249,9.0
8299,9.0
8349,9.0
8399,9.0
8419,9.0
8419,9.0
8449,10.0
8499,10.0
8549,10.0
8599,10.0
8649,10.0
8699,10.0
8749,10.0
8799,10.0
8849,10.0
8899,10.0
8949,10.0
8999,10.0
9049,10.0
9099,10.0
9149,10.0
9199,10.0
9249,10.0
9261,10.0
9261,10.0
9299,11.0
9349,11.0
9399,11.0
9449,11.0
9499,11.0
9549,11.0
9599,11.0
9649,11.0
9699,11.0
9749,11.0
9799,11.0
9849,11.0
9899,11.0
9949,11.0
9999,11.0
10049,11.0
10099,11.0
10103,11.0
10103,11.0
10149,12.0
10199,12.0
10249,12.0
10299,12.0
10349,12.0
10399,12.0
10449,12.0
10499,12.0
10549,12.0
10599,12.0
10649,12.0
10699,12.0
10749,12.0
10799,12.0
10849,12.0
10899,12.0
10945,12.0
10945,12.0
10949,13.0
10999,13.0
11049,13.0
11099,13.0
11149,13.0
11199,13.0
11249,13.0
11299,13.0
11349,13.0
11399,13.0
11449,13.0
11499,13.0
11549,13.0
11599,13.0
11649,13.0
11699,13.0
11749,13.0
11787,13.0
11787,13.0
11799,14.0
11849,14.0
11899,14.0
11949,14.0
11999,14.0
12049,14.0
12099,14.0
12149,14.0
12199,14.0
12249,14.0
12299,14.0
12349,14.0
12399,14.0
12449,14.0
12499,14.0
12549,14.0
12599,14.0
12629,14.0
12629,14.0
12649,15.0
12699,15.0
12749,15.0
12799,15.0
12849,15.0
12899,15.0
12949,15.0
12999,15.0
13049,15.0
13099,15.0
13149,15.0
13199,15.0
13249,15.0
13299,15.0
13349,15.0
13399,15.0
13449,15.0
13471,15.0
13471,15.0
13499,16.0
13549,16.0
13599,16.0
13649,16.0
13699,16.0
13749,16.0
13799,16.0
13849,16.0
13899,16.0
13949,16.0
13999,16.0
14049,16.0
14099,16.0
14149,16.0
14199,16.0
14249,16.0
14299,16.0
14313,16.0
14313,16.0
14349,17.0
14399,17.0
14449,17.0
14499,17.0
14549,17.0
14599,17.0
14649,17.0
14699,17.0
14749,17.0
14799,17.0
14849,17.0
14899,17.0
14949,17.0
14999,17.0
15049,17.0
15099,17.0
15149,17.0
15155,17.0
15155,17.0
15199,18.0
15249,18.0
15299,18.0
15349,18.0
15399,18.0
15449,18.0
15499,18.0
15549,18.0
15599,18.0
15649,18.0
15699,18.0
15749,18.0
15799,18.0
15849,18.0
15899,18.0
15949,18.0
15997,18.0
15997,18.0
15999,19.0
16049,19.0
16099,19.0
16149,19.0
16199,19.0
16249,19.0
16299,19.0
16349,19.0
16399,19.0
16449,19.0
16499,19.0
16549,19.0
16599,19.0
16649,19.0
16699,19.0
16749,19.0
16799,19.0
16839,19.0
16839,19.0
16849,20.0
16899,20.0
16949,20.0
16999,20.0
17049,20.0
17099,20.0
17149,20.0
17199,20.0
17249,20.0
17299,20.0
17349,20.0
17399,20.0
17449,20.0
17499,20.0
17549,20.0
17599,20.0
17649,20.0
17681,20.0
17681,20.0
17699,21.0
17749,21.0
17799,21.0
17849,21.0
17899,21.0
17949,21.0
17999,21.0
18049,21.0
18099,21.0
18149,21.0
18199,21.0
18249,21.0
18299,21.0
18349,21.0
