step,train_logits_fake_step
49,-0.2894326448440552
99,-0.0969948098063469
149,-0.14959120750427246
199,-0.15654823184013367
249,-0.18845145404338837
299,-0.15258629620075226
349,-0.1942659318447113
399,-0.06655361503362656
449,-0.1562175452709198
499,-0.1314467191696167
549,-0.1834367960691452
599,-0.09134566783905029
649,-0.13271062076091766
699,-0.20163804292678833
749,-0.20172974467277527
799,-0.10467282682657242
849,-0.08201517164707184
899,-0.20725871622562408
949,-0.2739550769329071
999,-0.18914996087551117
1049,-0.21438618004322052
1099,-0.26126912236213684
1149,-0.24541904032230377
1199,-0.1879647821187973
1249,-0.17433778941631317
1299,-0.20929552614688873
1349,-0.27494868636131287
1399,-0.21328391134738922
1449,-0.2397604137659073
1499,-0.2553708553314209
1549,-0.1636163592338562
1599,-0.29422685503959656
1649,-0.18734195828437805
1699,-0.19573047757148743
1749,-0.24889300763607025
1799,-0.2882092595100403
1849,-0.19848544895648956
1899,-0.31805694103240967
1949,-0.2801317870616913
1999,-0.2985045611858368
2049,-0.28065359592437744
2099,-0.27341654896736145
2149,-0.3032529950141907
2199,-0.3341673016548157
2249,-0.30288833379745483
2299,-0.3109765648841858
2349,-0.2688806354999542
2399,-0.2657850384712219
2449,-0.3135315179824829
2499,-0.27783524990081787
2549,-0.25979435443878174
2599,-0.2822117805480957
2649,-0.2855740487575531
2699,-0.32438379526138306
2749,-0.2692939341068268
2799,-0.2958108186721802
2849,-0.2915174961090088
2899,-0.304838091135025
2949,-0.33422034978866577
2999,-0.33272942900657654
3049,-0.30152997374534607
3099,-0.33663734793663025
3149,-0.2783399224281311
3199,-0.2852557897567749
3249,-0.3033813536167145
3299,-0.3083888590335846
3349,-0.25210970640182495
3399,-0.2606276571750641
3449,-0.3217152953147888
3499,-0.3348069190979004
3549,-0.2041650265455246
3599,-0.2813028395175934
3649,-0.26217934489250183
3699,-0.33827927708625793
3749,-0.32258689403533936
3799,-0.3248941898345947
3849,-0.25555509328842163
3899,-0.2357597053050995
3949,-0.3117588460445404
3999,-0.2623085677623749
4049,-0.30934032797813416
4099,-0.27516427636146545
4149,-0.27301815152168274
4199,-0.29667025804519653
4249,-0.26978906989097595
4299,-0.3186040222644806
4349,-0.3040781617164612
4399,-0.23574630916118622
4449,-0.278699666261673
4499,-0.2830559313297272
4549,-0.30116063356399536
4599,-0.31653836369514465
4649,-0.31217268109321594
4699,-0.32851073145866394
4749,-0.27990296483039856
4799,-0.3233943581581116
4849,-0.31768280267715454
4899,-0.3153451979160309
4949,-0.3035469651222229
4999,-0.33921873569488525
5049,-0.3034914433956146
5099,-0.31058207154273987
5149,-0.2528516352176666
5199,-0.21716943383216858
5249,-0.29865220189094543
5299,-0.2961212694644928
5349,-0.3263464868068695
5399,-0.3230225741863251
5449,-0.30985185503959656
5499,-0.31793656945228577
5549,-0.2569442689418793
5599,-0.30438095331192017
5649,-0.30240103602409363
5699,-0.3244874179363251
5749,-0.3354479968547821
5799,-0.3319946527481079
5849,-0.30860310792922974
5899,-0.3001909554004669
5949,-0.2693977653980255
5999,-0.23345446586608887
6049,-0.27615925669670105
6099,-0.2226887345314026
6149,-0.2884182035923004
6199,-0.3201621472835541
6249,-0.24742206931114197
6299,-0.2964637577533722
6349,-0.3222035765647888
6399,-0.30028101801872253
6449,-0.321283757686615
6499,-0.31952232122421265
6549,-0.28873971104621887
6599,-0.29665037989616394
6649,-0.27481910586357117
6699,-0.30104750394821167
6749,-0.28494933247566223
6799,-0.2327646017074585
6849,-0.27577266097068787
6899,-0.30567866563796997
6949,-0.3133726418018341
6999,-0.33240294456481934
7049,-0.33639949560165405
7099,-0.33881711959838867
7149,-0.26077890396118164
7199,-0.32877522706985474
7249,-0.3059728145599365
7299,-0.33474573493003845
7349,-0.3172542452812195
7399,-0.3126926124095917
7449,-0.30576610565185547
7499,-0.314983993768692
7549,-0.2730386555194855
7599,-0.30057650804519653
7649,-0.31245625019073486
7699,-0.286603718996048
7749,-0.3082776367664337
7799,-0.29188063740730286
7849,-0.2965351343154907
7899,-0.27049633860588074
7949,-0.2872954308986664
7999,-0.31032586097717285
8049,-0.30702143907546997
8099,-0.3017576336860657
8149,-0.32173702120780945
8199,-0.28644976019859314
8249,-0.30755189061164856
8299,-0.33444783091545105
8349,-0.25378280878067017
8399,-0.34356918931007385
8449,-0.3210522532463074
8499,-0.3112330734729767
8549,-0.30591660737991333
8599,-0.2946297526359558
8649,-0.3095574676990509
8699,-0.32351571321487427
8749,-0.24189864099025726
8799,-0.306731253862381
8849,-0.3345775902271271
8899,-0.298996239900589
8949,-0.29462310671806335
8999,-0.3412271738052368
9049,-0.3070347011089325
9099,-0.3349113464355469
9149,-0.3161454498767853
9199,-0.31513917446136475
9249,-0.3128258287906647
9299,-0.3086807429790497
9349,-0.31273356080055237
9399,-0.2973514795303345
9449,-0.3190591335296631
9499,-0.2865542471408844
9549,-0.29316893219947815
9599,-0.2033332735300064
9649,-0.3520134389400482
9699,-0.3218187987804413
9749,-0.3204810917377472
9799,-0.30424317717552185
9849,-0.305334210395813
9899,-0.32254883646965027
9949,-0.30392324924468994
9999,-0.3180158734321594
10049,-0.33230096101760864
10099,-0.2934817969799042
10149,-0.31792017817497253
10199,-0.3299991190433502
10249,-0.2984289824962616
10299,-0.3042708933353424
10349,-0.31502339243888855
10399,-0.3093617856502533
10449,-0.2881404757499695
10499,-0.2618871033191681
10549,-0.3071724474430084
10599,-0.3062288165092468
10649,-0.244493305683136
10699,-0.2981899082660675
10749,-0.3291597366333008
10799,-0.3349534869194031
10849,-0.31584593653678894
10899,-0.3239428400993347
10949,-0.22269971668720245
10999,-0.3188413381576538
11049,-0.3089102506637573
11099,-0.30988267064094543
11149,-0.3253506124019623
11199,-0.2948494553565979
11249,-0.3406977355480194
11299,-0.32040494680404663
11349,-0.2852673828601837
11399,-0.25551924109458923
11449,-0.30533650517463684
11499,-0.3188936412334442
11549,-0.307017982006073
11599,-0.30646422505378723
11649,-0.3087565302848816
11699,-0.2754567861557007
11749,-0.2749185860157013
11799,-0.3034725487232208
11849,-0.35679152607917786
11899,-0.2632370591163635
11949,-0.31684789061546326
11999,-0.30547788739204407
12049,-0.29527586698532104
12099,-0.26091668009757996
12149,-0.31158146262168884
12199,-0.32436904311180115
12249,-0.3180093467235565
12299,-0.30258041620254517
12349,-0.2939799129962921
12399,-0.33523473143577576
12449,-0.29668232798576355
12499,-0.30057984590530396
12549,-0.2963517904281616
12599,-0.30349722504615784
12649,-0.2865641713142395
12699,-0.30973416566848755
12749,-0.3000272512435913
12799,-0.31153956055641174
12849,-0.3092031180858612
12899,-0.29163697361946106
12949,-0.3052411377429962
12999,-0.30271223187446594
13049,-0.3158250153064728
13099,-0.3056356608867645
13149,-0.3115309476852417
13199,-0.3276451528072357
13249,-0.34004178643226624
13299,-0.30499759316444397
13349,-0.3406897485256195
13399,-0.34255117177963257
13449,-0.29309341311454773
13499,-0.30285778641700745
13549,-0.25545868277549744
13599,-0.3137447237968445
13649,-0.33559492230415344
13699,-0.29253798723220825
13749,-0.30828556418418884
13799,-0.3273187577724457
13849,-0.31521695852279663
13899,-0.3115052580833435
13949,-0.29079732298851013
13999,-0.3208838403224945
14049,-0.2593351900577545
14099,-0.2969697415828705
14149,-0.2995035946369171
14199,-0.3170136511325836
14249,-0.2579186260700226
14299,-0.33050140738487244
14349,-0.2586469352245331
14399,-0.3191148638725281
14449,-0.33330148458480835
14499,-0.2981257438659668
14549,-0.3123658299446106
14599,-0.3460119366645813
14649,-0.3012982904911041
14699,-0.34348064661026
14749,-0.2540276050567627
14799,-0.30777135491371155
14849,-0.312086820602417
14899,-0.2669074237346649
14949,-0.3227947950363159
14999,-0.3280937969684601
15049,-0.305415540933609
15099,-0.23262692987918854
15149,-0.2983320951461792
15199,-0.33580872416496277
15249,-0.2979884743690491
15299,-0.2946016192436218
15349,-0.33245962858200073
15399,-0.3364550471305847
15449,-0.3434929847717285
15499,-0.27715277671813965
15549,-0.3373262286186218
15599,-0.3196566104888916
15649,-0.31813594698905945
15699,-0.3457311987876892
15749,-0.2952852249145508
15799,-0.30072021484375
15849,-0.25414156913757324
15899,-0.30253592133522034
15949,-0.2455294132232666
15999,-0.27840927243232727
16049,-0.285122811794281
16099,-0.31847643852233887
16149,-0.3121594190597534
16199,-0.32873573899269104
16249,-0.3074207603931427
16299,-0.2757806181907654
16349,-0.27692165970802307
16399,-0.30269598960876465
16449,-0.3350020945072174
16499,-0.33664992451667786
16549,-0.2753277122974396
16599,-0.33453211188316345
16649,-0.2590917646884918
16699,-0.3193780481815338
16749,-0.30870071053504944
16799,-0.3691613972187042
16849,-0.30478036403656006
16899,-0.3300674855709076
16949,-0.3060448169708252
16999,-0.2943304777145386
17049,-0.34854820370674133
17099,-0.31912511587142944
17149,-0.3007989823818207
17199,-0.2913748323917389
17249,-0.2871323227882385
17299,-0.2611246705055237
17349,-0.32416871190071106
17399,-0.3360345661640167
17449,-0.27666381001472473
17499,-0.3354770839214325
17549,-0.31420859694480896
17599,-0.30276215076446533
17649,-0.28361430764198303
17699,-0.32051214575767517
17749,-0.2713624835014343
17799,-0.33942970633506775
17849,-0.30143582820892334
17899,-0.35534510016441345
17949,-0.3210999667644501
17999,-0.2941185534000397
18049,-0.3105617165565491
18099,-0.3048160672187805
18149,-0.33375030755996704
18199,-0.29863590002059937
18249,-0.3389320969581604
18299,-0.30658045411109924
18349,-0.22907811403274536
18399,-0.28074753284454346
18449,-0.31167933344841003
18499,-0.3171248435974121
18549,-0.34115728735923767
18599,-0.20199152827262878
18649,-0.266962468624115
18699,-0.3154648244380951
18749,-0.2985064387321472
18799,-0.3346811830997467
18849,-0.28648093342781067
18899,-0.33242619037628174
18949,-0.31140610575675964
18999,-0.3451186716556549
19049,-0.30918920040130615
19099,-0.31667834520339966
19149,-0.34715431928634644
19199,-0.2707197666168213
19249,-0.2734989523887634
19299,-0.30166733264923096
19349,-0.3460575342178345
19399,-0.3479037582874298
19449,-0.3081071078777313
19499,-0.31244510412216187
19549,-0.3432675302028656
19599,-0.3196364939212799
19649,-0.3244560956954956
19699,-0.34824275970458984
19749,-0.314193993806839
19799,-0.30375993251800537
19849,-0.2983982264995575
19899,-0.3351496458053589
19949,-0.20820173621177673
19999,-0.2831476926803589
