
======================================================================
EXPERIMENT 5 QUANTITATIVE RESULTS
======================================================================

FILE_ID | MEAN_DEPTH | MAX_DEPTH | MIN_DEPTH | STD_DEPTH | POINTS
----------------------------------------------------------------------
000000 | 0.4297 | 0.9705 | 0.0293 | 0.3679 | 122880
000001 | 0.5732 | 0.9750 | 0.0286 | 0.3723 | 122880
000002 | 0.6433 | 0.9759 | 0.0285 | 0.3743 | 122880
000003 | 0.5714 | 0.9832 | 0.0284 | 0.3683 | 122880
000004 | 0.4930 | 0.9713 | 0.0288 | 0.3314 | 122880
000005 | 0.5476 | 0.9741 | 0.0287 | 0.3506 | 122880
000006 | 0.5621 | 0.9770 | 0.0289 | 0.3847 | 122880
000007 | 0.5731 | 0.9799 | 0.0274 | 0.3431 | 122880
000008 | 0.4771 | 0.9757 | 0.0281 | 0.3552 | 122880
000009 | 0.5662 | 0.9735 | 0.0283 | 0.3635 | 122880
000010 | 0.5649 | 0.9798 | 0.0293 | 0.3640 | 122880
000011 | 0.5532 | 0.9697 | 0.0291 | 0.3912 | 122880
000012 | 0.3050 | 0.9742 | 0.0288 | 0.3329 | 122880
000013 | 0.4909 | 0.9797 | 0.0263 | 0.3468 | 122880
000014 | 0.4835 | 0.9797 | 0.0272 | 0.3622 | 122880
000015 | 0.4967 | 0.9742 | 0.0252 | 0.3770 | 122880
000016 | 0.5681 | 0.9803 | 0.0281 | 0.3747 | 122880
000017 | 0.2964 | 0.9728 | 0.0296 | 0.3305 | 122880
000018 | 0.5814 | 0.9698 | 0.0288 | 0.3651 | 122880
000019 | 0.5103 | 0.9804 | 0.0284 | 0.3851 | 122880
000020 | 0.5037 | 0.9816 | 0.0276 | 0.3705 | 122880
000021 | 0.5962 | 0.9814 | 0.0275 | 0.3760 | 122880
000022 | 0.4216 | 0.9671 | 0.0284 | 0.3350 | 122880
000023 | 0.5683 | 0.9758 | 0.0278 | 0.3733 | 122880
000024 | 0.5645 | 0.9680 | 0.0282 | 0.4043 | 122880
000025 | 0.4976 | 0.9836 | 0.0286 | 0.3645 | 122880
000026 | 0.4831 | 0.9703 | 0.0273 | 0.3825 | 122880
000027 | 0.3257 | 0.9725 | 0.0272 | 0.3726 | 122880
000028 | 0.4573 | 0.9710 | 0.0289 | 0.3693 | 122880
000029 | 0.5689 | 0.9697 | 0.0280 | 0.3860 | 122880
000030 | 0.5755 | 0.9798 | 0.0295 | 0.3859 | 122880
000031 | 0.5218 | 0.9740 | 0.0281 | 0.3593 | 122880
000032 | 0.5684 | 0.9738 | 0.0279 | 0.3585 | 122880
000033 | 0.3911 | 0.9760 | 0.0280 | 0.3821 | 122880
000034 | 0.5008 | 0.9689 | 0.0288 | 0.3475 | 122880
000035 | 0.5228 | 0.9736 | 0.0284 | 0.3677 | 122880
000036 | 0.4045 | 0.9756 | 0.0282 | 0.3832 | 122880
000037 | 0.6001 | 0.9823 | 0.0283 | 0.3688 | 122880
000038 | 0.4999 | 0.9787 | 0.0285 | 0.3753 | 122880
000039 | 0.5755 | 0.9766 | 0.0277 | 0.3848 | 122880
000040 | 0.4686 | 0.9680 | 0.0279 | 0.3724 | 122880
000041 | 0.4064 | 0.9721 | 0.0279 | 0.3472 | 122880
000042 | 0.4823 | 0.9739 | 0.0298 | 0.3887 | 122880
000043 | 0.5307 | 0.9781 | 0.0283 | 0.3728 | 122880
000044 | 0.4998 | 0.9809 | 0.0270 | 0.3730 | 122880
000045 | 0.5261 | 0.9701 | 0.0280 | 0.3650 | 122880
000046 | 0.5118 | 0.9772 | 0.0280 | 0.3678 | 122880
000047 | 0.5848 | 0.9727 | 0.0283 | 0.3816 | 122880
000048 | 0.4436 | 0.9728 | 0.0275 | 0.3574 | 122880
000049 | 0.5189 | 0.9810 | 0.0266 | 0.3831 | 122880
000050 | 0.5785 | 0.9792 | 0.0291 | 0.3864 | 122880
000051 | 0.5632 | 0.9706 | 0.0290 | 0.3683 | 122880
000052 | 0.5572 | 0.9832 | 0.0278 | 0.3650 | 122880
000053 | 0.4932 | 0.9796 | 0.0273 | 0.3761 | 122880
000054 | 0.4256 | 0.9695 | 0.0290 | 0.3688 | 122880
000055 | 0.4849 | 0.9661 | 0.0288 | 0.3399 | 122880
000056 | 0.4692 | 0.9819 | 0.0267 | 0.3653 | 122880
000057 | 0.4669 | 0.9800 | 0.0283 | 0.3588 | 122880
000058 | 0.4339 | 0.9652 | 0.0288 | 0.3682 | 122880
000059 | 0.2787 | 0.9708 | 0.0275 | 0.3339 | 122880
000060 | 0.5140 | 0.9685 | 0.0262 | 0.3572 | 122880
000061 | 0.2943 | 0.9622 | 0.0290 | 0.3365 | 122880
000062 | 0.5259 | 0.9795 | 0.0289 | 0.3856 | 122880
000063 | 0.4329 | 0.9748 | 0.0278 | 0.3670 | 122880
000064 | 0.2914 | 0.9755 | 0.0280 | 0.3348 | 122880
000065 | 0.5209 | 0.9761 | 0.0279 | 0.3860 | 122880
000066 | 0.4595 | 0.9745 | 0.0269 | 0.3765 | 122880
000067 | 0.5468 | 0.9787 | 0.0280 | 0.3752 | 122880
000068 | 0.5847 | 0.9821 | 0.0286 | 0.3646 | 122880
000069 | 0.4465 | 0.9637 | 0.0272 | 0.3561 | 122880
000070 | 0.4457 | 0.9701 | 0.0290 | 0.3679 | 122880
000071 | 0.5521 | 0.9745 | 0.0279 | 0.3435 | 122880
000072 | 0.3728 | 0.9547 | 0.0280 | 0.3555 | 122880
000073 | 0.6209 | 0.9808 | 0.0290 | 0.3697 | 122880
000074 | 0.5044 | 0.9781 | 0.0277 | 0.3819 | 122880
000075 | 0.5035 | 0.9730 | 0.0281 | 0.3655 | 122880
000076 | 0.6137 | 0.9699 | 0.0271 | 0.3704 | 122880
