
======================================================================
EXPERIMENT 5 QUANTITATIVE RESULTS
======================================================================

FILE_ID | MEAN_DEPTH | MAX_DEPTH | MIN_DEPTH | STD_DEPTH | POINTS
----------------------------------------------------------------------
000000 | 0.4802 | 0.9768 | 0.0268 | 0.3512 | 98304
000001 | 0.3963 | 0.9603 | 0.0276 | 0.3527 | 98304
000002 | 0.4839 | 0.9766 | 0.0282 | 0.3736 | 98304
000003 | 0.4743 | 0.9829 | 0.0263 | 0.4213 | 98304
000004 | 0.5273 | 0.9680 | 0.0285 | 0.3454 | 98304
000005 | 0.5170 | 0.9786 | 0.0268 | 0.3736 | 98304
000006 | 0.5901 | 0.9760 | 0.0285 | 0.3439 | 98304
000007 | 0.5163 | 0.9713 | 0.0283 | 0.3633 | 98304
000008 | 0.4838 | 0.9671 | 0.0276 | 0.3983 | 98304
000009 | 0.4292 | 0.9697 | 0.0294 | 0.3688 | 98304
000010 | 0.4868 | 0.9815 | 0.0274 | 0.3775 | 98304
000011 | 0.4945 | 0.9725 | 0.0290 | 0.3454 | 98304
000012 | 0.5673 | 0.9761 | 0.0283 | 0.4027 | 98304
000013 | 0.5478 | 0.9825 | 0.0278 | 0.3497 | 98304
000014 | 0.4320 | 0.9693 | 0.0295 | 0.3698 | 98304
000015 | 0.4821 | 0.9767 | 0.0292 | 0.3726 | 98304
000016 | 0.5356 | 0.9754 | 0.0277 | 0.3851 | 98304
000017 | 0.5942 | 0.9626 | 0.0275 | 0.3844 | 98304
000018 | 0.4972 | 0.9792 | 0.0291 | 0.3637 | 98304
000019 | 0.5180 | 0.9729 | 0.0322 | 0.3563 | 98304
000020 | 0.5354 | 0.9706 | 0.0273 | 0.3633 | 98304
000021 | 0.5718 | 0.9734 | 0.0296 | 0.3630 | 98304
000022 | 0.5366 | 0.9796 | 0.0276 | 0.3795 | 98304
000023 | 0.4371 | 0.9750 | 0.0273 | 0.3654 | 98304
000024 | 0.4823 | 0.9724 | 0.0282 | 0.3701 | 98304
000025 | 0.4742 | 0.9768 | 0.0302 | 0.3603 | 98304
000026 | 0.4058 | 0.9779 | 0.0291 | 0.3738 | 98304
000027 | 0.5608 | 0.9760 | 0.0290 | 0.3849 | 98304
000028 | 0.5583 | 0.9658 | 0.0290 | 0.3251 | 98304
000029 | 0.4710 | 0.9730 | 0.0274 | 0.3651 | 98304
000030 | 0.5428 | 0.9702 | 0.0274 | 0.4014 | 98304
000031 | 0.5426 | 0.9754 | 0.0277 | 0.3875 | 98304
